"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"28/10/2020","","Saldo Anterior","","0","1750.31",
"05/11/2020","","Benefício INSS","","196324558","52397.51",
"05/11/2020","","TED-Crédito em Conta - 033 3017 39545900000150 HOT ITAIPU ALI","","761462892","1045.00",
"05/11/2020","","Tarifa Pacote de Serviços - Cobrança referente 05/11/2020","","823101300279790","-22.50",
"06/11/2020","","Pagamento de Boleto - BANCO CETELEM S.A.","","110601","-118.32",
"06/11/2020","","BB Seguro Auto - SEGURO AUTO BB/MAPFRE","","25341","-300.80",
"09/11/2020","","Pgto conta água - CEDAE FIDC","","110901","-119.33",
"09/11/2020","","Pagto conta telefone - VIVO RJ","","110902","-319.99",
"10/11/2020","258-5","Compra com Cartão - 10/11 12:27 PRINCESA SUPERMERCAD","","144834","-550.31",
"10/11/2020","","Pagamento de Boleto - BB ADMINISTRADORA DE CARTOES","","111001","-514.26",
"10/11/2020","","Pagamento de Boleto - BANCO SANTANDER (BRASIL) S.A.","","111002","-79.90",
"10/11/2020","","Pagto conta telefone - TELEMAR RJ (OI FIXO)","","111003","-32.76",
"12/11/2020","","Pagamento conta luz - LIGHT","","111201","-14.01",
"12/11/2020","","Pagamento conta luz - LIGHT","","111202","-90.87",
"13/11/2020","","Pgto conta água - CONC. AGUAS DE JUTURNAIBA","","111301","-80.46",
"20/11/2020","","Emissão de DOC - 341 4848 49075624700 JORGE LU 005/006M","","112001","-150.00",
"20/11/2020","","DOCinternet - Cobrança referente 20/11/2020","","843251300092038","-10.45",
"23/11/2020","258-5","Compra com Cartão - 21/11 11:39 PRINCESA SUPERMERCAD","","141966","-204.73",
"25/11/2020","258-5","Compra com Cartão - 25/11 11:54 DROGARIA PACHECO","","242872","-86.97",
"25/11/2020","","Pagto conta telefone - SKY SERVICOS","","112501","-141.94",
"25/11/2020","","Pagamento conta luz - AMPLA (antiga CERJ)","","112502","-221.85",
"27/11/2020","258-5","Compra com Cartão - 27/11 10:10 DROGARIA PACHECO","","136610","-61.97",
"30/11/2020","258-5","Compra com Cartão - 30/11 12:51 SHOPPING 1 99","","146268","-192.00",
"30/11/2020","258-5","Compra com Cartão - 30/11 13:21 SUPERMERCADO GOME","","248087","-65.30",
"30/11/2020","","S A L D O","","0","51814.10",
